[sweep] loading /Volumes/BUF_2T_02/QwenMLB/models/Qwen3.5-4B-MLX-4bit
[sweep] model: Model  layers: 32  path: Qwen3.5-4B-MLX-4bit
[sweep] 150 problem-seed runs  chat_template=True thinking=False stops=['<|im_end|>']
[1/150] arith_001 seed=7 ... tok=8 tps=5.4 correct=True
[2/150] arith_001 seed=42 ... tok=8 tps=5.8 correct=True
[3/150] arith_001 seed=123 ... tok=8 tps=5.8 correct=True
[4/150] arith_002 seed=7 ... tok=12 tps=6.4 correct=True
[5/150] arith_002 seed=42 ... tok=12 tps=5.7 correct=True
[6/150] arith_002 seed=123 ... tok=12 tps=6.4 correct=True
[7/150] arith_003 seed=7 ... tok=9 tps=5.8 correct=True
[8/150] arith_003 seed=42 ... tok=9 tps=6.0 correct=True
[9/150] arith_003 seed=123 ... tok=9 tps=6.4 correct=True
[10/150] arith_004 seed=7 ... tok=20 tps=7.7 correct=True
[11/150] arith_004 seed=42 ... tok=20 tps=8.6 correct=True
[12/150] arith_004 seed=123 ... tok=20 tps=7.8 correct=True
[13/150] arith_005 seed=7 ... tok=32 tps=9.0 correct=True
[14/150] arith_005 seed=42 ... tok=32 tps=9.6 correct=True
[15/150] arith_005 seed=123 ... tok=32 tps=8.9 correct=True
[16/150] arith_006 seed=7 ... tok=20 tps=8.6 correct=True
[17/150] arith_006 seed=42 ... tok=20 tps=9.6 correct=True
[18/150] arith_006 seed=123 ... tok=20 tps=9.2 correct=True
[19/150] arith_007 seed=7 ... tok=24 tps=9.9 correct=True
[20/150] arith_007 seed=42 ... tok=24 tps=9.6 correct=True
[21/150] arith_007 seed=123 ... tok=24 tps=9.8 correct=True
[22/150] arith_008 seed=7 ... tok=12 tps=7.2 correct=True
[23/150] arith_008 seed=42 ... tok=12 tps=7.1 correct=True
[24/150] arith_008 seed=123 ... tok=12 tps=7.4 correct=True
[25/150] arith_009 seed=7 ... tok=20 tps=8.6 correct=True
[26/150] arith_009 seed=42 ... tok=20 tps=7.5 correct=True
[27/150] arith_009 seed=123 ... tok=20 tps=8.3 correct=True
[28/150] arith_010 seed=7 ... tok=16 tps=8.4 correct=True
[29/150] arith_010 seed=42 ... tok=16 tps=7.5 correct=True
[30/150] arith_010 seed=123 ... tok=16 tps=7.3 correct=True
[31/150] geom_001 seed=7 ... tok=20 tps=9.2 correct=True
[32/150] geom_001 seed=42 ... tok=24 tps=9.7 correct=True
[33/150] geom_001 seed=123 ... tok=14 tps=8.1 correct=True
[34/150] geom_002 seed=7 ... tok=14 tps=7.6 correct=True
[35/150] geom_002 seed=42 ... tok=14 tps=7.0 correct=True
[36/150] geom_002 seed=123 ... tok=14 tps=6.8 correct=True
[37/150] geom_003 seed=7 ... tok=48 tps=9.5 correct=False
[38/150] geom_003 seed=42 ... tok=48 tps=10.0 correct=False
[39/150] geom_003 seed=123 ... tok=48 tps=11.3 correct=False
[40/150] geom_004 seed=7 ... tok=11 tps=6.7 correct=True
[41/150] geom_004 seed=42 ... tok=11 tps=6.9 correct=True
[42/150] geom_004 seed=123 ... tok=11 tps=7.0 correct=True
[43/150] geom_005 seed=7 ... tok=20 tps=9.9 correct=True
[44/150] geom_005 seed=42 ... tok=20 tps=9.5 correct=True
[45/150] geom_005 seed=123 ... tok=20 tps=9.3 correct=True
[46/150] geom_006 seed=7 ... tok=20 tps=7.5 correct=True
[47/150] geom_006 seed=42 ... tok=20 tps=8.1 correct=True
[48/150] geom_006 seed=123 ... tok=20 tps=8.3 correct=True
[49/150] geom_007 seed=7 ... tok=56 tps=10.8 correct=False
[50/150] geom_007 seed=42 ... tok=56 tps=11.8 correct=False
[51/150] geom_007 seed=123 ... tok=56 tps=10.7 correct=False
[52/150] geom_008 seed=7 ... tok=24 tps=7.8 correct=True
[53/150] geom_008 seed=42 ... tok=24 tps=8.9 correct=True
[54/150] geom_008 seed=123 ... tok=24 tps=8.5 correct=True
[55/150] geom_009 seed=7 ... tok=20 tps=9.0 correct=True
[56/150] geom_009 seed=42 ... tok=20 tps=8.8 correct=True
[57/150] geom_009 seed=123 ... tok=20 tps=9.1 correct=True
[58/150] geom_010 seed=7 ... tok=36 tps=11.2 correct=False
[59/150] geom_010 seed=42 ... tok=36 tps=9.9 correct=False
[60/150] geom_010 seed=123 ... tok=36 tps=9.9 correct=False
[61/150] count_001 seed=7 ... tok=6 tps=4.3 correct=True
[62/150] count_001 seed=42 ... tok=6 tps=4.1 correct=True
[63/150] count_001 seed=123 ... tok=6 tps=4.1 correct=True
[64/150] count_002 seed=7 ... tok=40 tps=10.2 correct=True
[65/150] count_002 seed=42 ... tok=40 tps=9.9 correct=True
[66/150] count_002 seed=123 ... tok=40 tps=10.5 correct=True
[67/150] count_003 seed=7 ... tok=8 tps=5.4 correct=True
[68/150] count_003 seed=42 ... tok=8 tps=5.4 correct=True
